episode,reward
0,-31.9
100,4.25
200,-6.8
300,5.75
400,6.35
500,-17.55
600,7.6
700,4.85
800,2.4
900,20.55
1000,-6.65
1100,-4.95
1200,-3.35
1300,-3.75
1400,-4.35
1500,-6.95
1600,-13.4
1700,-5.75
1800,-21.35
1900,8.7
2000,-15.35
2100,7.55
2200,16.25
2300,18.3
2400,-0.95
2500,0.85
2600,-1.4
2700,-10.7
2800,-24.25
2900,12.55
3000,-4.35
3100,0.5
3200,20.7
3300,-7.1
3400,-12.9
3500,-1.6
3600,-23.95
3700,13.25
3800,-3.75
3900,-12.9
4000,-17.5
4100,1.95
4200,8.85
4300,3.2
4400,6.2
4500,14.3
4600,9.0
4700,14.0
4800,5.65
4900,11.05
